customer_id,annual_income,monthly_income,employment_type,employment_duration_years,loan_amount,loan_term_months,interest_rate,loan_purpose,residential_status,existing_debt,existing_emi,credit_history_years,credit_utilization,total_credit_accounts,previous_delinquencies,default
CUST100000,329700.0,27475.0,Professional,3.3,373000.0,36.0,10.78,Business Loan,Owned,194100.0,11683.0,4.1,71.9,3,0,0
CUST100001,693100.0,57758.0,Self-Employed,0.1,322000.0,36.0,9.34,Personal Loan,Owned,153800.0,12058.0,0.7,94.0,3,0,0
CUST100002,428500.0,35708.0,Government Employee,2.3,187000.0,24.0,10.34,Debt Consolidation,Company Provided,44700.0,11907.0,9.0,77.1,0,0,0
CUST100003,90000.0,7500.0,Business Owner,2.4,47000.0,60.0,15.34,Vehicle Loan,Rented,36000.0,2930.0,7.6,44.1,2,0,1
CUST100004,375300.0,31275.0,Salaried,2.8,262000.0,36.0,7.0,Vehicle Loan,Owned,113400.0,6794.0,0.3,42.0,0,1,0
CUST100005,498700.0,41558.0,Retired,35.5,454000.0,36.0,12.95,Education Loan,Living with Family,24900.0,12329.0,0.9,60.4,2,0,0
CUST100006,1153400.0,96117.0,Professional,0.0,565000.0,24.0,12.15,Vehicle Loan,Rented,259200.0,21607.0,8.9,40.2,1,0,0
CUST100007,2009800.0,167483.0,Professional,19.1,703000.0,36.0,16.92,Vehicle Loan,Rented,433800.0,39416.0,9.2,6.6,3,0,0
CUST100008,496100.0,41342.0,Salaried,3.7,1117000.0,12.0,12.62,Business Loan,Owned,95400.0,6044.0,1.5,78.0,5,1,1
CUST100009,1479100.0,123258.0,Self-Employed,11.9,602000.0,12.0,11.82,Medical Expenses,Living with Family,241000.0,72756.0,0.1,11.9,2,0,0
CUST100010,496200.0,41350.0,Salaried,1.8,1107000.0,120.0,17.21,Home Loan,Living with Family,149400.0,2795.0,4.7,64.6,4,3,1
CUST100011,554500.0,46208.0,Government Employee,1.0,42000.0,60.0,12.71,Consumer Durable,Owned,285100.0,13487.0,2.4,54.7,4,0,0
CUST100012,90000.0,7500.0,Business Owner,1.0,387000.0,240.0,12.19,Home Loan,Owned,35300.0,779.0,1.8,78.9,4,0,1
CUST100013,1510800.0,125900.0,Professional,6.5,271000.0,24.0,11.43,Personal Loan,Owned,555700.0,43136.0,8.9,57.0,2,0,0
CUST100014,299100.0,24925.0,Self-Employed,0.8,1178000.0,360.0,13.91,Home Loan,Rented,184600.0,2943.0,1.1,25.1,2,2,1
CUST100015,281800.0,23483.0,Salaried,6.6,876000.0,240.0,11.94,Home Loan,Owned,65300.0,5316.0,6.2,61.9,3,0,1
CUST100016,1012500.0,84375.0,Self-Employed,0.2,2065000.0,120.0,11.95,Home Loan,Rented,152300.0,6229.0,1.9,30.0,5,0,0
CUST100017,751100.0,62592.0,Salaried,5.2,709000.0,48.0,17.64,Debt Consolidation,Rented,175900.0,31290.0,1.6,16.5,2,0,0
CUST100018,1522600.0,126883.0,Professional,0.5,784000.0,60.0,13.16,Vehicle Loan,Other,443500.0,52552.0,14.3,0.0,3,0,0
CUST100019,482700.0,40225.0,Business Owner,5.1,63000.0,24.0,11.57,Consumer Durable,Rented,260500.0,8427.0,0.2,35.3,5,0,0
CUST100020,872000.0,72667.0,Professional,0.4,159000.0,48.0,9.82,Personal Loan,Rented,147200.0,14257.0,4.4,0.9,7,0,0
CUST100021,434400.0,36200.0,Salaried,0.5,661000.0,36.0,13.64,Education Loan,Rented,61200.0,3475.0,1.0,69.6,2,1,0
CUST100022,417400.0,34783.0,Retired,20.2,268000.0,60.0,11.21,Personal Loan,Living with Family,158300.0,18519.0,15.1,3.4,2,0,0
CUST100023,860700.0,71725.0,Government Employee,7.9,1461000.0,240.0,11.82,Home Loan,Living with Family,349400.0,16965.0,0.2,29.6,3,0,0
CUST100024,1102500.0,91875.0,Professional,3.7,3641000.0,180.0,10.28,Home Loan,Other,934700.0,21052.0,5.4,30.6,5,0,1
CUST100025,963500.0,80292.0,Salaried,2.9,2500000.0,60.0,13.63,Business Loan,Rented,120000.0,52974.0,1.9,41.8,5,0,0
CUST100026,858900.0,71575.0,Self-Employed,3.4,840000.0,36.0,8.83,Business Loan,Rented,434200.0,4998.0,0.9,18.9,5,0,0
CUST100027,389000.0,32417.0,Salaried,5.0,160000.0,60.0,14.32,Personal Loan,Rented,87400.0,10277.0,4.9,63.0,2,1,0
CUST100028,665500.0,55458.0,Salaried,1.7,65000.0,12.0,11.25,Personal Loan,Living with Family,402500.0,10474.0,7.9,41.6,5,0,0
